parameter,location_id,location_name,country,sensor_id,expected_interval,interval_label,datetime_first_local,reaches_jan_2000
pm25,43361,蒙二幼,CN,236563,01:00:00,hourly,2021-01-01T01:00:00+08:00,False
pm25,3553304,"Ekaphab Secondary School - Xayabury, Xayabury ມັດທະຍົມ ເອກະພາບ",LA,12370643,01:00:00,hourly,2025-03-04T10:00:00+07:00,False
pm25,2162992,Francavilla,IT,7852816,01:00:00,hourly,2024-02-10T19:00:00+01:00,False
pm25,1215658,神戸市須磨区行幸町３丁目,JP,6515452,01:00:00,hourly,2023-07-15T02:00:00+09:00,False
pm25,225832,Sutton - Beddington Lane north,GB,1304886,01:00:00,hourly,2021-04-30T01:00:00+01:00,False
pm25,1381,Winnipeg_Ellens,CA,23362,01:00:00,hourly,2018-08-20T12:00:00-05:00,False
pm25,26127,Greenfield,US,41518,,unknown,,False
pm25,2829508,Porepunkah,AU,9091271,01:00:00,hourly,2024-05-05T18:00:00+10:00,False
pm25,1787891,LEIALI'I,US,7341205,01:00:00,hourly,2023-11-01T19:00:00-10:00,False
pm25,1065352,Kaiapoi,NZ,6231608,01:00:00,hourly,2023-06-07T13:00:00+12:00,False
pm25,4379,Cesky Tesin,PL,10763,01:00:00,hourly,2016-11-21T16:00:00+01:00,False
pm25,1118072,Vernon Street,US,6359299,01:00:00,hourly,2023-06-22T02:00:00-04:00,False
pm25,2163185,GJ-2,RO,14927978,01:00:00,hourly,2025-12-17T01:00:00+02:00,False
pm25,5656465,Vinkuran,HR,14026875,01:00:00,hourly,2025-09-03T13:00:00+02:00,False
pm25,2843970,MOBILNA UŽICE - LUNOVO SELO,RS,9198980,01:00:00,hourly,2024-05-13T13:00:00+02:00,False
pm25,6135675,Clark State vs. Silicon Heartland,US,14672905,01:00:00,hourly,2025-11-18T21:00:00-05:00,False
pm25,1996803,Beilen,NL,7579599,01:00:00,hourly,2023-12-22T19:00:00+01:00,False
pm25,1621,CARY,US,2858,01:00:00,hourly,2016-03-06T14:00:00-06:00,False
pm25,7474,MMCA82012,US,21688,01:00:00,hourly,2020-02-27T16:00:00-08:00,False
pm25,783941,Debrecen Kalotaszeg tér,HU,4272864,01:00:00,hourly,2023-03-30T18:00:00+02:00,False
pm25,10429,德盛苑,CN,34439,01:00:00,hourly,2018-10-17T20:00:00+08:00,False
pm25,6276781,Ashkelon Barnea (Ramat Kramim),IL,15719508,01:00:00,hourly,2026-03-19T01:00:00+02:00,False
pm25,921158,Portola,US,5079758,01:00:00,hourly,2022-10-04T11:00:00-07:00,False
pm25,2210,Dodge City,US,7496248,01:00:00,hourly,2023-12-04T13:00:00-06:00,False
pm25,7147,MMCA82026,US,20582,01:00:00,hourly,2019-12-11T10:00:00-08:00,False
pm25,6345665,Harrison Township,US,16234534,01:00:00,hourly,2026-05-11T09:00:00-04:00,False
pm25,3295359,Arnett Benson,US,11498878,00:18:00,hourly,2024-12-01T12:02:05-06:00,False
pm25,2162657,Perpignan bd Pyrénées,FR,15121829,01:00:00,hourly,2026-01-07T05:00:00+01:00,False
pm25,1235995,"Didam, NL",NL,6530176,01:00:00,hourly,2023-07-15T15:00:00+02:00,False
pm25,3306475,"Corona Heights, San Francisco",US,11581706,01:00:00,hourly,2024-12-08T19:00:00-08:00,False
pm25,6410794,EBAM-10,US,16675671,01:00:00,hourly,2026-06-19T23:00:00-07:00,False
pm25,5731001,Örebro Rudbecksskolan,SE,14079351,01:00:00,hourly,2025-09-10T00:00:00+02:00,False
pm25,7489,MMCA81014,US,21722,01:00:00,hourly,2020-03-05T13:00:00-08:00,False
pm25,2692439,Wanglang Rd.,TH,8694736,01:00:00,hourly,2024-04-01T21:00:00+07:00,False
pm25,6259490,Hochgratweg,DE,15590580,01:00:00,hourly,2026-03-04T01:00:00+01:00,False
pm25,11572,Maryville,US,39297,01:00:00,hourly,2020-11-03T20:00:00-06:00,False
pm25,368942,İstanbul - Kadıköy,TR,2083765,01:00:00,hourly,2022-10-28T11:00:00+03:00,False
pm25,2585,AAQMS Karve Road Pune,IN,5354,00:15:00,hourly,2016-03-21T13:30:00+05:30,False
pm25,3304042,Hakvagen,SE,11563448,01:00:00,hourly,2024-12-07T12:00:00+01:00,False
pm25,79,Hilversum-J. Gerardtsweg,NL,118,24:00:00,daily,2016-01-30T02:00:00+01:00,False
pm25,6092595,"West Point (UMU-EPIC), Liberia",LR,14356827,01:00:00,hourly,2025-10-12T13:00:00Z,False
pm25,6144553,Sala Capriasca,CH,14738094,01:00:00,hourly,2025-11-27T14:00:00+01:00,False
pm25,42400,KGL,RW,228496,05:00:00,other (05:00:00),2020-12-29T01:00:00+02:00,False
pm25,2622714,중2동,KR,8534497,01:00:00,hourly,2024-03-20T08:00:00+09:00,False
pm25,3267793,MLK Early College,US,11293966,01:00:00,hourly,2024-11-12T10:00:00-07:00,False
pm25,4412,Frydek-Mistek,CZ,10889,01:00:00,hourly,2016-11-21T16:00:00+01:00,False
pm25,1930282,Leśna Ostropa,PL,7505247,01:00:00,hourly,2023-12-07T15:00:00+01:00,False
pm25,1236004,Mitcham ,AU,6530202,01:00:00,hourly,2023-07-15T23:00:00+10:00,False
pm25,7936,Los Angeles - N. Mai,US,25196,01:00:00,hourly,2017-06-07T15:00:00-07:00,False
pm25,1215454,横浜市磯子区磯子３－５－１,JP,6516359,01:00:00,hourly,2023-07-15T02:00:00+09:00,False
pm25,5568718,Groene Longen_Moestuinsteeg,BE,14157971,01:00:00,hourly,2025-09-19T14:00:00+02:00,False
pm25,1215866,貝塚市鳥羽１２２－１,JP,6518528,01:00:00,hourly,2023-07-15T02:00:00+09:00,False
pm25,2936423,84fce606f6a0,US,9856481,01:00:00,hourly,2024-07-06T17:00:00-06:00,False
pm25,1668307,"Mladost, Gabrovo, Bulgaria",BG,7127008,01:00:00,hourly,2023-10-06T12:00:00+03:00,False
pm25,2858173,โรงเรียนบ้านคอกควาย(สันติภาพคุรุราษฎร์พัฒนา),TH,9305155,01:00:00,hourly,2024-05-21T15:00:00+07:00,False
pm25,1215244,広島市西区三篠町１－９－２５,JP,6517438,01:00:00,hourly,2023-07-15T02:00:00+09:00,False
pm25,6200132,Needles ,US,15153364,00:18:00,hourly,2026-01-13T11:10:30-08:00,False
pm25,8078,CLEVELAND,US,25701,01:00:00,hourly,2018-02-17T20:00:00-06:00,False
